BXL,ANT,LIM,OVL,VlB,WVl,BWA,HAI,LIE,LUX,NAM
75.64630883958587,76.07656539423746,76.4509023876784,75.79562006666279,76.4645176112207,76.32771793183309,75.85673675381717,74.3837875748467,74.28633899980963,74.45743450980883,74.10821907927568
75.90823435924592,76.33786884597578,76.23952017148514,75.89398174563715,76.80519986716757,76.8465514170022,76.18079687036267,74.39173391639514,74.65368062370902,74.56286516751332,73.76141179847012
75.87314626763026,76.77781844186842,76.3932985814668,76.10318425996353,76.93059413395191,76.67594638755529,76.50818553396344,74.34018543918646,74.94835344057526,75.00154564824571,74.98953152440069
76.18148235519493,76.44173442086806,76.73681369905803,76.06096655237326,77.3998870132602,76.55232354931655,76.57236518385773,74.4874510245975,74.97717378192998,74.47838171339497,74.51017225254701
76.29785368350902,76.98541331960597,77.20417188725115,76.72312884375255,77.32417026342338,76.73161063416,77.44082869956564,74.77053197018633,75.25769390055129,75.0134173249931,74.64415240974472
76.327512745275,76.99291928191782,77.05391183252407,76.43984972126638,77.66721277602772,77.10928765862984,76.6974346648444,74.71284159947832,75.44687830490273,75.33643244533832,74.72566079675246
76.88958465823922,77.46369533050358,77.60236147093721,76.78385798951844,77.90556786585148,76.95255777724358,76.7956785664433,74.80168280545202,75.5788085077494,75.68336601762107,75.3266268084168
76.96972285028964,77.83167549723689,77.7164492096114,77.03552649833023,78.10426726397037,77.70017724312494,77.35160103239166,75.08624511216921,75.94976784747755,75.62050791682219,75.33161043585409
76.99016334458561,77.63381481766082,77.8846664568928,77.24414957357833,78.11358778848499,77.9631860406923,77.37431330917772,75.10171420696788,75.78378208431027,75.26341537280426,75.50127150393511
77.21745674270984,77.77896354442866,78.0205513723246,77.40995935913752,78.07013147746295,78.11298876226346,77.88166330137231,75.34680657568963,76.03771414026208,75.97146772847121,75.81687800645781
77.73385492064915,77.87681554076269,77.90497401380313,77.5489779954329,78.33325244226441,78.53767854177359,77.8789193678974,75.25963931151979,76.16520763540798,76.55996690727038,75.62501144861028
77.64848444804034,78.38994852489944,78.66180476376658,78.01467433089223,78.72118144410027,78.68193303439851,78.29061014425533,75.77322985615719,76.3401012769611,76.80755484803132,76.04006392831123
77.70202741363295,78.47955577037298,78.41490310627245,78.0622103282534,79.12889457571724,78.61460270399859,78.50703144555223,75.57468507875605,76.46550975859957,77.08987493146556,76.18996439157189
77.9289191543566,78.67244550138312,78.35345726759873,78.35213646618108,79.08878297194302,78.79650775854437,78.32959776201615,75.67579887732707,76.63721192523329,77.09311874664456,76.66324637264093
78.53879673791175,79.21108994223546,79.43289931971682,78.97780087480845,79.55872628327933,79.5017986578859,79.19939378810281,76.2879672071713,77.41848200502248,77.12248921895566,76.85114029381116
78.74247204656781,79.62912012836037,79.4639580030177,78.98743351774493,79.73087370167072,79.6984709840825,79.71803669957076,76.44982134999151,77.5245101320987,77.80798285475794,76.87629476706763
78.8773549309189,79.65862754993681,79.9279752186146,79.26562985055878,80.56241159014465,80.25487225244072,80.10701180396605,76.8238969689153,77.80229196458795,77.94856939108558,77.50326642535858
79.56068893241306,80.30650280271247,80.26222036158958,79.59482073506311,80.76474354594866,80.4306500424035,80.42966309919379,76.88156762276367,77.9629389888688,78.32668389842345,78.36302833177854
79.1978037216928,80.1673972431979,80.24957174952966,79.65342105486792,80.71939565184022,80.06613496815001,79.75466624605349,76.96496676036021,78.03874560178357,77.76124439687904,77.85744733030609
79.27309456604789,80.4115234961039,80.42411048113587,79.90144180909532,81.24877029223553,80.43596428551913,80.70836013421453,77.25568164577945,78.18640568423879,78.4138140451687,78.25047075002107
79.76634745066197,80.54075705203083,80.73645774338173,80.45543777649777,81.17269843649774,80.66609114256545,80.58104770657616,77.54735232285898,78.34369094311407,78.51708131295206,78.0483791016284
80.32347440413392,80.97116975043778,81.0895850453045,80.32328191055137,81.1992656259835,81.16360954295432,81.1870037506063,77.92212129432394,78.55770430932527,79.50750860193142,78.82110997323468
79.85705897180819,80.8941894072508,81.09848580645071,80.42602645341563,81.58604329110022,81.31340620632643,80.92482394101853,77.83508206911375,78.9562816465279,79.43266752303511,78.39378550493822
80.30415756483475,81.10486144711001,81.50969836119978,80.68053544630517,81.44384565469338,81.0659769492572,81.74209366723346,78.03792718567408,79.04769700879687,79.10821864234822,78.5760832822766
80.80275150520562,81.75445392899702,82.00532948793155,81.46930430881358,82.15816052455605,81.81741349387246,81.41022568030654,78.63750502960644,79.71281914918946,80.23915245971568,79.47901088577956
80.68121991994572,81.75035139911631,81.97619232439783,81.27290148733138,82.16146048323203,81.86946710945736,81.55404457029039,78.25671707433912,79.17232387953518,79.93410546379573,79.02654165447439
81.08589908469548,81.8288163411698,82.22867328085135,81.76845543332156,82.409453176547,82.29112975086358,82.28650973244316,78.57110803861369,79.64008690830318,79.8426100810401,79.45563751504508
80.93026057176588,82.02182140720251,82.58654078358987,82.05449351957071,82.83510403812625,82.26091512126155,82.30016947970384,79.4029028332457,79.72735722699568,80.25308163123745,79.51606826456437
81.33206862053801,82.30815062337385,82.37297985465912,82.01526869722832,82.73424293343618,82.33678265022111,82.67919997078883,79.08923989266351,79.92455719633259,80.84521256706302,79.9251578881617
81.5577325149956,82.76777627081321,82.88238526267763,82.31538879226314,83.00182653092828,83.10254810619085,82.82370997762453,79.53622060052757,80.35810720393258,80.5885347627094,80.3733880171118
79.69180741364768,81.86463801339632,82.05813172045774,81.76668476824177,82.54513940489093,82.06891472470082,81.67120827025387,77.82805082263386,78.2975261365309,79.79125403968398,79.25229203947502
80.84985687521062,82.44845294887885,82.37632509194265,82.18317943990483,82.91719732740945,82.65768438386472,83.12222883085587,78.71854596497018,79.76280837071188,79.7113187919975,79.94193414429232
81.57352932485568,82.53609597132406,82.30286727220634,82.46221456246384,83.18446489081768,82.71178186950138,82.67657355869031,79.16376690558366,79.99283479866602,80.07752999728409,80.40857588908393
82.2073449234894,83.41824966576857,83.41177995348909,82.76974769211478,83.94745321882387,83.15316674037406,83.33943692304071,79.65783270867776,80.59731684412218,80.7480999710771,80.9108376056598
82.05333129275549,83.44587557782597,83.68277790145311,83.19766116712314,84.08860049282238,83.67107505610514,83.77244399607532,79.6128035082359,80.77422554722867,81.29388345751485,81.02774406704658
82.21750089452918,83.64973158162984,83.89419414549518,83.41322098691887,84.30504689565403,83.88525123441444,83.99368032664023,79.76640350030121,80.94796476305599,81.49121675566667,81.2269087948988
82.3806673576001,83.85319256034849,84.10514862862621,83.62868711553278,84.52144472904622,84.09967516487212,84.21468007376146,79.91986205038523,81.12152078061604,81.68918341374909,81.42609149700456
82.54286063935096,84.05627088766174,84.31564985746489,83.84407106253255,84.73780860492779,84.31436216154785,84.43546256304273,80.07319260796248,81.29491817018447,81.88781502039173,81.62531936188562
82.70410983764896,84.25897853371286,84.52570613070337,84.05938393767046,84.95415256251766,84.52932668385458,84.65604620923074,80.22640835304382,81.46818080881351,82.08714185697166,81.82461868596202
82.86444320985439,84.46132706426354,84.73532553623984,84.27463642755104,85.17049004103276,84.74458227634256,84.87644849911293,80.37952219589965,81.64133188855817,82.28719277052889,82.02401484412567
83.02388819135035,84.66332763862248,84.9445159471371,84.48983876987721,85.38683384906581,84.96014150515549,85.0966859713515,80.53254677621462,81.81439392302686,82.48799504213778,82.22353225756883
83.18247141359441,84.86499100633402,85.15328501637505,84.70500072529383,85.60319613066291,85.17601589154182,85.31677419341275,80.68549446167377,81.9873887522489,82.68957425184402,82.42319435904844
83.34021872169353,85.06632750262041,85.36164017036869,84.92013154687085,85.81958832817648,85.39221584287453,85.5367277357846,80.83837734598269,82.16033754585978,82.89195414138739,82.62302355579779
83.49715519150391,85.26734704257721,85.56958860122904,85.13523994730129,86.03602114200909,85.60875058168828,85.75656014370995,80.99120724632448,82.33326080461404,83.095156476016,82.82304119033073
83.65330514626112,85.46805911413287,85.7771372577502,85.35033406391685,86.25250448741411,85.82562807329802,85.97628390669466,81.1439957002624,82.50617836024156,83.29920090677112,83.02326749941449
83.80869217274329,85.6684727697882,85.98429283511292,85.56542142165759,86.46904744856381,86.04285495260812,86.19591042608228,81.29675396209515,82.67910937367284,83.50410483466877,83.22372157151585
83.96333913697394,85.8685966171645,86.19106176330197,85.78050889416205,86.68565823014339,86.26043645076017,86.4154499810157,81.44949299867943,82.85207233166969,83.70988327822913,83.42442130305302
84.11726819947114,86.06843880839753,86.39745019424649,85.99560266317647,86.90234410677671,86.47837632230241,86.63491169313488,81.60222348473233,83.02508504190558,83.91654874581191,83.62538335380847
84.27050083004904,86.26800702842452,86.60346398770135,86.21070817651197,87.11911137063377,86.69667677358339,86.85430349038454,81.75495579763304,83.19816462655088,84.12411111419092,83.82662310187875
84.4230578221814,86.46730848222333,86.80910869589658,86.42583010480853,87.33596527761212,86.91533839309078,87.07363207032346,81.90770001174265,83.37132751442937,84.33257751476246,84.02815459855485
84.57495930693518,86.66634988107262,87.01438954699813,86.64097229739077,87.5529099925246,87.1343600844582,87.29290286335048,82.06046589226663,83.5445894318206,84.54195222871556,84.22999052353761
84.72622476648256,86.8651374279131,87.21931142743018,86.85613773752759,87.7699485337586,87.3537390028606,87.51211999626857,82.21326288868553,83.71796539199603,84.75223659240964,84.43214214090325
84.87687304720394,87.06367680189956,87.4238788631271,87.07132849742791,87.98708271790336,87.57347049550368,87.7312862566221,82.36610012778232,83.89146968358412,84.9634289141002,84.63461925623666
85.02692237239003,87.26197314224562,87.62809599979158,87.28654569332606,88.20431310486684,87.79354804689008,87.95040305824331,82.51898640629864,84.06511585787099,85.17552440303687,84.83743017535093
85.17639035455561,87.46003103147052,87.83196658225033,87.50178944102389,88.42163894401737,88.01396322951126,88.16947040844515,82.67193018325314,84.2389167151522,85.3885151118236,85.04058166500582
85.325294007376,87.65785447816786,88.0354939330122,87.71705881227017,88.63905812190389,88.23470566057581,88.3884868772892,82.82493957195933,84.4128842902598,85.60238989278824,85.24407891602897
85.47364975725831,87.8554468994242,88.23868093014426,87.93235179236284,88.85656711210656,88.45576296533261,88.60744956935,82.97802233178083,84.58702983739715,85.81713436895781,85.44792550923103
85.6214734545599,88.05281110302336,88.44152998459323,88.14766523936613,89.07416092777098,88.6771207474959,88.82635409837897,83.13118585966548,84.76136381442029,86.03273092007608,85.65212338448586
85.7687803844668,88.24994926957731,88.64404301709342,88.36299484532971,89.2918330773692,88.89876256721361,89.0451945652525,83.28443718150069,84.93589586671263,86.24915868394218,85.85667281332842
85.91558527754444,88.44686293473208,88.8462214348071,88.57833509989297,89.50957552421431,89.12066992695499,89.26396353956409,83.43778294333583,85.11063481080325,86.46639357318912,86.06157237539476
86.06190231997495,88.64355297160009,89.04806610785896,88.79367925664833,89.72737865023075,89.34282226562571,89.48265204519397,83.59122940251589,85.28558861788434,86.68440830746164,86.26681893900277
86.2077451634937,88.84001957357276,89.24957734592765,89.00901930262059,89.9452312244571,89.56519696113739,89.70124955015383,83.74478241877483,85.46076439738596,86.90317246080158,86.47240764613991
86.35312693503772,89.03626223767027,89.45075487506915,89.22434593120187,90.16312037671808,89.78776934159114,89.91974396097532,83.89844744533787,85.63616838076878,87.122652523904,86.6783319020898
86.4980602461224,89.23227974858487,89.65159781494681,89.43964851886011,90.38103157686481,90.01051270515298,90.13812162186862,84.05222952008005,85.81180590569451,87.34281198076823,86.88458336989585
86.64255720195636,89.42807016357224,89.85210465665101,89.65491510591123,90.5989486199364,90.2333983486226,90.35636731884023,84.20613325679183,85.98768140073503,87.56361139914499,87.0911519698221
86.78662941031159,89.62363079834505,90.0522732412888,89.87013238161708,90.81685361754452,90.45639560462585,90.5744642889172,84.36016283660156,86.16379837077885,87.78500853406197,87.29802588393211
86.93028799016032,89.81895821411696,90.25210073952563,90.08528567383989,91.03472699573295,90.67947188728384,90.79239423458434,84.51432199960368,86.34015938328858,88.00695844361371,87.5051915658697
87.07354358009363,90.01404820594003,90.45158363226062,90.30035894344692,91.25254749950503,90.90259274614493,91.01013734349372,84.66861403674378,86.51676605556177,88.22941361610891,87.71263375588603
87.21640634653359,90.20889579247468,90.6507176926108,90.51533478362623,91.47029220415689,91.12572192809833,91.22767231347005,84.8230417820074,86.69361904313932,88.45232410759645,87.92033550111866
87.35888599175519,90.40349520731993,90.84949796937494,90.73019442423427,91.6879365334962,91.34882144692808,91.44497638278486,84.97760760496158,86.8707180295014,88.67563768873144,88.12827818108832
87.50099176172805,90.5978398920262,91.04791877214387,90.94491774125844,91.90545428496497,91.57185166010713,91.6620253656375,85.13231340369589,87.04806171718049,88.89929999989639,88.336441538347
87.64273245379304,90.7919224908997,91.24597365820918,91.15948327143867,92.12281766163123,91.79477135238481,91.87879369273756,85.28716059820722,87.22564782041533,89.12325471345933,88.54480371417009
87.78411642418638,90.98573484770023,91.44365542141934,91.37386823205199,92.33999731095288,92.01753782567191,92.09525445684501,85.44215012427384,87.4034730594579,89.34744370203559,88.75334128915483
87.92515159542276,91.17926800431958,91.64095608311531,91.58804854582691,92.55696237016679,92.24010699469105,92.31137946308915,85.59728242785779,87.58153315663654,89.57180721161015,88.96202932855529
88.06584546355107,91.37251220151693,91.83786688526799,91.80199887091565,92.77368051810052,92.46243348782866,92.52713928385289,85.7525574600775,87.75982283426657,89.79628403838582,89.17084143215347
88.20620510529321,91.56545688177374,92.03437828592443,92.01569263581521,92.99011803315672,92.684470752597,92.74250331797847,85.90797467278682,87.93833581448875,90.02081170824029,89.37974978844021
88.34623718507963,91.75809069431884,92.2304799570563,92.22910207909464,93.20623985717398,92.90617116509706,92.95743985402095,86.06353301479452,88.11706482110397,90.24532665769985,89.58872523285417
88.48594796199015,91.95040150235785,92.42616078488717,92.44219829375274,93.42200966482656,93.12748614285857,93.17191613725477,86.21923092875763,88.2960015834589,90.46976441537748,89.7977373098082
88.62534329661337,92.14237639253102,92.62140887275999,92.65495127599749,93.63738993818839,93.34836626042801,93.38589844011001,86.37506634877592,88.47513684242698,90.69405978286393,90.00675433820932
88.76442865783345,92.33400168660603,92.81621154658825,92.8673299782147,93.85234204605221,93.56876136707346,93.59935213570586,86.53103669871577,88.65446035851467,90.91814701411334,90.21574348016833
88.90320912955518,92.5252629554006,93.01055536292002,93.07930236586233,94.06682632757054,93.788620705979,93.81224177412469,86.68713889128402,88.83396092210954,91.14195999242249,90.4246708125758
89.04168941737616,92.71614503491509,93.20442611962227,93.29083547800983,94.28080217975696,94.00789303431289,94.02453116106584,86.84336932787328,89.01362636587704,91.36543240416259,90.63350140121807
89.17987385521586,92.90663204464323,93.39780886918159,93.50189549121782,94.49422814837216,94.22652674356489,94.23618343850556,86.99972389919444,89.1934435792965,91.58849790848856,90.84219937709398
89.31776641190947,93.0967074080136,93.59068793459544,93.7124477864395,94.70706202170355,94.44446997957209,94.44716116698598,87.15619798670994,89.37339852531763,91.81109030232004,91.05072801459227
