horizon,BXL,ANT,LIM,OVL,VlB,WVl,BWA,HAI,LIE,LUX,NAM
2057,87.07,90.01,90.45,90.3,91.25,90.9,91.01,84.67,86.52,88.23,87.71
2058,87.22,90.21,90.65,90.52,91.47,91.13,91.23,84.82,86.69,88.45,87.92
2059,87.36,90.4,90.85,90.73,91.69,91.35,91.44,84.98,86.87,88.68,88.13
2060,87.5,90.6,91.05,90.94,91.91,91.57,91.66,85.13,87.05,88.9,88.34
2061,87.64,90.79,91.25,91.16,92.12,91.79,91.88,85.29,87.23,89.12,88.54
2062,87.78,90.99,91.44,91.37,92.34,92.02,92.1,85.44,87.4,89.35,88.75
2063,87.93,91.18,91.64,91.59,92.56,92.24,92.31,85.6,87.58,89.57,88.96
2064,88.07,91.37,91.84,91.8,92.77,92.46,92.53,85.75,87.76,89.8,89.17
2065,88.21,91.57,92.03,92.02,92.99,92.68,92.74,85.91,87.94,90.02,89.38
2066,88.35,91.76,92.23,92.23,93.21,92.91,92.96,86.06,88.12,90.25,89.59
2067,88.49,91.95,92.43,92.44,93.42,93.13,93.17,86.22,88.3,90.47,89.8
2068,88.63,92.14,92.62,92.65,93.64,93.35,93.39,86.38,88.48,90.69,90.01
2069,88.76,92.33,92.82,92.87,93.85,93.57,93.6,86.53,88.65,90.92,90.22
2070,88.9,92.53,93.01,93.08,94.07,93.79,93.81,86.69,88.83,91.14,90.42
2071,89.04,92.72,93.2,93.29,94.28,94.01,94.02,86.84,89.01,91.37,90.63
2072,89.18,92.91,93.4,93.5,94.49,94.23,94.24,87.0,89.19,91.59,90.84
2073,89.32,93.1,93.59,93.71,94.71,94.44,94.45,87.16,89.37,91.81,91.05
