titre,lien,extrait,source,date_scraping,mots_cles_trouves
EN DIRECT - Guerre en Iran : le guide suprême Mojtaba Khamenei affirme que «l’ennemi» est «vaincu» et assure que le gouvernement iranien «reste en place»,https://www.lefigaro.fr/international/en-direct-guerre-moyen-orient-iran-israel-etats-unis-liban-emirats-arabes-unis-arabie-saoudite-koweit-qatar-oman-irak-donald-trump-benyamin-netanyahou-bahrein-20260320,"Le conflit au Moyen-Orient, qui dure désormais depuis trois semaines, ne montre aucun signe d’apaisement et pèse déjà concrètement sur l’activité mondiale, suscitant les craintes d’une crise économique majeure.",www.lefigaro.fr,2026-03-20 16:23,économie
Murielle Popa-Fabre : « Sommes-nous en capacité de contrôler l’utilisation de l’intelligence artificielle dans la guerre ? »,https://www.lefigaro.fr/vox/monde/murielle-popa-fabre-sommes-nous-en-capacite-de-controler-l-utilisation-de-l-intelligence-artificielle-dans-la-guerre-20260320,"ENTRETIEN -Avec la guerre en Iran, le débat sur l’utilisation de l’IA militaire est brutalement passé des cercles fermés d’experts à l’espace public. La chercheuse pose une question essentielle : l’humain est-il encore vraiment aux commandes ?",www.lefigaro.fr,2026-03-20 16:23,intelligence artificielle
"«Tous les jours, je reçois des appels paniqués» : à Toulouse, l’alliance PS-LFI cristallise l’angoisse des milieux économiques",https://www.lefigaro.fr/societes/tous-les-jours-je-recois-des-appels-paniques-a-toulouse-l-alliance-ps-lfi-cristallise-l-angoisse-des-milieux-economiques-20260320,"RÉCIT- Sortant de leur réserve habituelle, des dizaines de patrons, artisans et représentants des professions libérales ont appelé à faire barrage au candidat Insoumis François Piquemal lors du second tour des élections municipales dimanche.",www.lefigaro.fr,2026-03-20 16:23,économie
Automobile : les importations chinoises dépassent pour la première fois les exportations européennes en 2025,https://www.lefigaro.fr/conjoncture/automobile-les-importations-chinoises-depassent-pour-la-premiere-fois-les-exportations-europeennes-en-2025-20260320,"Les ventes de véhicules et de pièces de l’UE vers la Chine ont chuté de 34% en 2025, tandis que les importations chinoises ont augmenté de 8%, selon une étude du cabinet EY.",www.lefigaro.fr,2026-03-20 16:23,économie
