IDF,CVL,BOU,FCO,BN,HN,NPC,PIC,ALS,CHA,LOR,PDL,BRE,AQU,LIM,POI,LR,MPY,AUV,RA,PACA,COR
77.34586449857493,77.24660503252849,76.6661391326742,76.51762848575363,76.81573173490447,75.92639040587474,74.09246413182052,75.10297380927634,76.31560881500752,76.04011780171732,75.5011943217565,77.0003133818347,75.53807749586757,77.14873384230535,76.44438980716677,77.01308906938594,76.746860771024,77.71214580396689,76.34242808278317,77.33713417612857,76.96347463622428,76.79292268765053
77.27082399550689,77.29796360291118,76.64962633590673,76.7404781044749,76.77462122541367,76.26835317686236,74.32150778603773,75.07015310967309,76.48729586739499,76.21349647839337,75.72057360788004,77.2575706438518,75.87757373741891,77.33639769148263,76.92324291391763,77.22824686999641,76.9148734915956,78.1222469166152,76.22658742598252,77.38141182775745,77.28866538118164,76.97105237920424
77.58494430841463,77.74752595386225,77.18265369585279,77.04558452600799,77.07370808008545,76.1657463528406,74.6406730487471,75.70228792446082,76.90990615607211,76.45896641130875,76.04656783737394,77.3613234241575,76.34601312442189,77.60207080354807,77.51208332676718,77.56860524139042,77.28020607371418,78.52296812387185,76.51350239030964,77.93433426859998,77.65144320492723,77.43261582949458
77.65367209232161,77.7477077379684,76.84196110958482,76.98570448315789,77.07264076246395,76.28307399258819,74.42035833849756,75.67471655450932,76.86181637624757,76.09329620078051,76.08572976141446,77.68232969116984,75.99608823217037,77.54238295033313,77.45313583282417,77.5686747862048,77.23863744723806,78.42077182149761,76.73452253328375,77.84680075316564,77.6327503309003,77.32516981150795
77.94259579578217,78.04745456471197,77.37784999558635,77.4802432600893,77.44765482958655,76.8348786678572,75.04095026340097,76.2252874722867,77.21219864674244,76.6500791419574,76.54580365853595,78.06307381733839,76.59098685873482,78.05221020483873,77.44267135744737,77.97282412812547,77.66951819802263,78.78655082232045,77.0734671211132,78.3054549937524,78.03504528571402,77.82274357075015
78.06507357804246,78.11610879616077,77.64129292994996,77.52225094517259,77.51098789825136,76.68297463603547,75.11573992292813,75.90748098378229,77.22003408765056,76.80095243306718,76.58587470019933,78.14256590787593,76.57425158646345,78.13141814371639,78.07266915447494,78.12367174158085,77.7600155041414,78.88506781471385,77.20429009443966,78.39544859030849,78.18190286256167,77.92032596933316
78.27733677580048,78.2168434026894,77.48163095657448,77.57437108887258,77.68316542520056,76.69472490832605,75.1417134531448,76.34943817696261,77.37239583471188,76.91956938518047,76.43090605085462,78.07063993253098,76.7912143307316,78.23992850352724,77.43262645130989,78.17371941783912,77.85793773289075,78.86158687091826,77.07221051912323,78.50950585357187,78.11131091562953,77.93457940699933
79.0972767441869,78.65164488629449,77.93112120289605,78.02643322895707,77.97332779571806,77.19284407188643,75.58389777323052,76.43176274949218,77.80315596943929,77.12862221072913,77.10841620117274,78.51759941173442,76.952560843558,78.46753845890694,78.5519212658377,78.6173743983668,78.30695127626245,79.07825810976126,77.73116730426472,79.01989122367048,78.56131418738751,78.47504542121017
79.34528706024999,78.73132484707087,78.07671296628503,78.23276608322615,78.20591760060448,77.55191290552543,75.6592426641754,76.73348856696543,77.8768843332202,77.51285326470317,77.01313509541664,78.85069019366895,77.62295736651718,78.78701704700885,78.3631516920488,78.75866628581188,78.48859800118731,79.16377666727392,77.65951248728825,79.15303459680295,78.6427361111588,78.48969474878399
79.53328257643511,78.7939091947612,78.02926167703856,78.36762589599438,78.31691147181853,77.60050324132278,75.9423457940347,76.747190315146,77.98728689005883,77.72540112252904,77.60084506373788,79.0933493132309,77.48955943965044,78.99283338960146,78.37269006268062,78.94034222083724,78.65862149527122,79.65278336483527,77.98308065128394,79.46472331233349,78.880908347166,78.70440658696688
