n_knots,N,dofs,lnL,deviance,AIC,BIC
10,62084,1277.0,-219377.5,-110523538.96,441308.99,452848.28
15,62084,1502.0,-212069.58,-110538154.78,427143.17,440715.61
20,62084,1727.0,-210591.68,-110541110.6,424637.35,440242.94
25,62084,1952.0,-209899.18,-110542495.6,423702.35,441341.1
30,62084,2177.0,-209576.35,-110543141.25,423506.7,443178.6
35,62084,2402.0,-209340.54,-110543612.88,423485.07,445190.13
40,62084,2627.0,-209192.46,-110543909.04,423638.91,447377.12
