lam,N,dofs,lnL,deviance,AIC,BIC
0.0,62084,1952.0,-209899.18,-110542495.6,423702.35,441341.1
0.01,62084,1951.4,-209899.14,-110542495.68,423701.07,441334.37
0.1,62084,1946.5,-209912.09,-110542469.77,423717.18,441306.23
0.5,62084,1930.2,-209962.49,-110542368.97,423785.37,441227.11
1.0,62084,1915.32,-210037.33,-110542219.3,423905.3,441212.64
2.0,62084,1893.52,-210153.42,-110541987.12,424093.88,441204.2
5.0,62084,1852.2,-210257.25,-110541779.44,424218.91,440955.85
10.0,62084,1810.58,-210287.45,-110541719.04,424196.06,440556.91
20.0,62084,1759.71,-210476.91,-110541340.12,424473.26,440374.46
