Model,N,dofs,lnL,AIC,BIC
LC,62084.0,200.0,-282530.49,565460.97,567268.22
LC parametric,62084.0,88.0,-282989.13,566154.26,566949.45
Li-Lee,62084.0,2750.0,-215387.22,436274.44,461124.11
Li-Lee parametric,62084.0,1952.0,-209899.18,423702.35,441341.1
